Controller,RMSE_theta0,RMSE_theta1,MaxAbsError_theta0,MaxAbsError_theta1,ITSE_theta0,ITSE_theta1,Weighted_ITSE
ANC alpha=1000,0.00829650434007989,0.00138437865774105,0.0192598471353471,0.008082700892317,0.0132345766662667,0.000265638782218981,0.0158909644884566
ANC alpha=50,0.00819815223148292,0.00138436176395015,0.0188739708782245,0.0082311391741623,0.0129476772924075,0.000266662863930989,0.0156143059317174
