Controller,ISE_tau,ITSE_tau,Tau_RMS,Tau_Max
LQR,4.43360326218782e-05,0.0004328056988159,0.00148889253977407,0.0702842182324934
Neural,4.55137930288329e-05,0.000433316738949738,0.0015085386942254,0.0092659963332895
