Controller,RMSE_theta0,RMSE_theta1,MaxAbsError_theta0,MaxAbsError_theta1,ITSE_theta0,ITSE_theta1,Weighted_ITSE
LQR,0.0143804965398257,0.00141566428490275,0.0258708680325918,0.00505625686550681,0.0390597056597587,0.000312098971206995,0.0421806953718286
Neural,0.00819815223148292,0.00138436176395015,0.0188739708782245,0.0082311391741623,0.0129476772924075,0.000266662863930989,0.0156143059317174
