Controller,RMSE_theta0,RMSE_theta1,MaxAbsError_theta0,MaxAbsError_theta1,ITSE_theta0,ITSE_theta1,Weighted_ITSE
LQR,0.0143804965398257,0.00141566428490275,0.0258708680325918,0.00505625686550681,0.0390597056597587,0.000312098971206995,0.0421806953718286
Neural,0.00829650434007989,0.00138437865774105,0.0192598471353471,0.008082700892317,0.0132345766662667,0.000265638782218981,0.0158909644884566
