Controller,ISE_tau,ITSE_tau,Tau_RMS,Tau_Max
LQR,4.43360326218782e-05,0.0004328056988159,0.00148889253977407,0.0702842182324934
Neural,5.56829862591153e-05,0.000431521468650178,0.00166857675827773,0.037493056153075
